Chemical Name;CAS Number;Alternative Name
2-Undecanol, 4,4,5,5,6,6,7,7,8,8,9,9,10,11,11,11-hexadecafluoro-10-(trifluoromethyl)-, dihydrogen phosphate, diammonium salt;63295-23-8;
Acetic acid, 2-[[3,3,4,4,5,5,6,6,7,7,8,8,9,10,10,10-hexadecafluoro-1-[(phosphonoxy)methyl]-9-(trifluoromethyl)decyl]oxy]-, ammonium salt (1:2);63295-24-9;
1-Undecanol, 2-chloro-4,4,5,5,6,6,7,7,8,8,9,9,10,11,11,11-hexadecafluoro-10-(trifluoromethyl)-, dihydrogen phosphate;63295-22-7;
2-Undecanol, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-heptadecafluoro-, dihydrogen phosphate, potassium salt;90179-37-6;
2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-1-(hydroxymethyl)decyl ester;146955-29-5;
Silane, tetrakis[2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]ethyl]-;1189587-64-1;
1-Undecanol, 4,4,5,5,6,6,7,7,8,8,9,9,10,11,11,11-hexadecafluoro-10-(trifluoromethyl)-;31200-97-2;
Nonanal, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluoro-;63967-40-8;
Bis(perfluorooctyl) phosphinic acid;40143-34-5;
1,2-Undecanediol, 4,4,5,5,6,6,7,7,8,8,9,9,10,11,11,11-hexadecafluoro-10-(trifluoromethyl)-, 1-(dihydrogen phosphate), compd. with 2,2′-iminobis[ethanol] (1:2);63295-19-2;
Diphosphoric acid, mono(3,3,4,4,5,5,6,6,7,7,8,8, 9,9,10,10,10-heptadecafluorodecyl) ester, compd. with 2,2′,2′′-nitrilotris[ethanol] (1:3);98005-85-7;
Phosphoric acid, mono(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl) mono(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl) ester;1158182-60-5;
Phosphoric acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl ester;1578186-64-7;
1-Decanesulfonamide, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-N-[3-(phosphonooxy)propyl]-N-propyl-, sodium salt (1:2);441765-20-4;
3,6,9,12,15,18,21,24-Octaoxatetratriacontan-1-ol, 27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,34-heptadecafluorooctamethyl-;88243-17-8;
3,6,9,12,15-Pentaoxapentacosan-1-ol, 18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,25-heptadecafluoropentamethyl-, acetate;88243-09-8;
1,2-Propanediol, 3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy]-;121500-31-0;
11,14,17,20,23,26,29,32-Octaoxaoctatetracontan-33-one, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-;67549-47-7;
1-Tetradecanaminium, N-(carboxymethyl)-4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-tricosafluoro-N,N-dimethyl-, inner salt;171184-17-1;
1-Dodecanaminium, N-(carboxymethyl)-3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-eicosafluoro-N,N-dimethyl-, inner salt;171184-04-6;
1-Dodecanaminium, N-(carboxymethyl)-5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heptadecafluoro-N,N-dimethyl-;2089109-30-6;
1-Undecanaminium, 2-(acetyloxy)-N-(carboxymethyl)-4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-heptadecafluoro-N,N-dimethyl-, inner salt;80234-03-3;
2,5,8,11,14,17,20,23-Octaoxa-27-thiaheptatriacontan-25-ol, 30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,37-heptadecafluoro-;121912-28-5;
1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-;727351-53-3;
1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl)sulfinyl]-;1513864-17-9;
1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-, chloride (1:1);71940-07-3;
1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl)thio]-, chloride (1:1);;
1-Propanesulfonic acid, 2-[[3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-1-oxopropyl]amino]-2-methyl-, sodium salt (1:1);62880-96-0;
1-Propanesulfonic acid, 2-[[3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl)thio]-1-oxopropyl]amino]-2-methyl-, sodium salt (1:1);62880-98-2;
1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)sulfinyl]-;1513864-19-1;
1-Propanesulfonic acid, 2-[[3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)sulfinyl]-1-oxopropyl]amino]-2-methyl-;1513864-12-4;
Octanamide, N-[3-(dimethylamino)propyl]-2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-;376-23-8;
1-Pentanaminium, N,N,N-trimethyl-5-[(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)amino]-, iodide (1:1);91707-61-8;
Decanal, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluoro-;335-73-9;
Propanol, [2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy]methylethoxy]-;88243-13-4;
3,6,9,12-Tetraoxadocosan-1-ol, 15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,22-heptadecafluoro-;55427-54-8;
3,6,9,12,15,18-Hexaoxaoctacosan-1-ol, 21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,28-heptadecafluoropentamethyl-;88243-11-2;
3,6,9,12,15,18,21-Heptaoxahentriacontan-1-ol, 24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,31-heptadecafluoropentamethyl-;88243-10-1;
Oxirane, 2-[[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy]methyl]-;114482-33-6;
2-Dodecanol, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-nonadecafluoro-1-[(1-methylpropyl)amino]-;94817-80-8;
1-Dodecanaminium, N-(carboxymethyl)-3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluoro-N,N-dimethyl-;2089109-27-1;
1-Dodecanaminium, N-(carboxymethyl)-4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-nonadecafluoro-N,N-dimethyl-, inner salt;171184-16-0;
1-Tridecanaminium, 2-(acetyloxy)-N-(carboxymethyl)-4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,13-heneicosafluoro-N,N-dimethyl-, inner salt;80244-66-2;
2-Propenamide, telomer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluoro-1-dodecanethiol;121913-10-8;
2-Propanol, 1,3-bis[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-;160819-47-6;
2-Propanol, 1-[(2-decyltetradecyl)oxy]-3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-;160819-49-8;
Acetamide, N-[3-(dimethylamino)propyl]-2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-;1513863-91-6;
1-Propanaminium, 3-[[2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]acetyl]amino]-N,N,N-trimethyl-;704870-51-9;
Butanoic acid, 4-[[3-(dimethylamino)propyl]amino]-2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-4-oxo-;1383438-89-8;
1-Propanesulfonic acid, 2-[[3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-1-oxopropyl]amino]-2-methyl-;755698-73-8;
1-Decanesulfonamide, N-[3-(dimethyloxidoamino)propyl]-3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-;80475-33-8;
1-Decanesulfonamide, N-[3-(dimethylamino)propyl]-3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-;34455-23-7;
Glycine, N-ethyl-N-(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)-, ammonium salt;138473-79-7;
Ethanaminium, N,N,N-trimethyl-2-[(2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-1-oxooctyl)amino]-, chloride (1:1);178766-44-4;
Octanamide, N-[3-(dimethyloxidoamino)propyl]-2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-;30295-53-5;
Pyridinium, 1-[2-[(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)amino]ethyl]-, chloride (1:1);308-01-0;
2,2',3,4,4',5'-Hexabromodiphenyl ether;182677-30-1;
Sodium pentachlorophenolate monohydrate;27735-64-4;
Pentachlorophenyl laurate;3772-94-9;
tert-Butyl pentachlorophenyl carbonate;18942-25-1;
1,3,5-Tribromo-2-(3,4-dibromophenoxy)benzene;189084-66-0;
2,2',5,5'-Tetrachlorobiphenyl;35693-99-3;
2,4,4'-Trichlorobiphenyl;7012-37-5;
2,2',3,3',4,4',5-Heptachlorobiphenyl;35065-30-6;
Chlorobiphenyl;27323-18-8;
3,3'-Dichlorobiphenyl;2050-67-1;
2,4',5-Trichlorobiphenyl;16606-02-3;
Pyridinium, 1-[2-[(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)amino]ethyl]-, bromide (1:1);331755-02-3;
Ethanesulfonic acid, 2-[ethyl(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)amino]-, potassium salt (1:1);57670-46-9;
Benzene, 1-nitro-4-[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]-;171561-95-8;
2-[2-(1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluorohexane-1-sulfonyl)ethenyl]furan;86525-48-6;
1-Methoxy-4-[2-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)ethenyl]benzene;86525-52-2;
3-[1-(Furan-2-yl)-2-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)ethyl]pentane-2,4-dione;89863-64-9;
2,2',3,3',4,5',6-Heptabromodiphenyl ether;446255-22-7;
Perchlorophenyl S-benzyl-N-(benzyloxycarbonyl)-L-cysteinate;13673-54-6;
2,2',4,4',6,6'-Hexachlorobiphenyl;33979-03-2;
2,2',4,4'-Tetrachlorobiphenyl;2437-79-8;
4,4'-Dichlorobiphenyl;2050-68-2;
Decachlorobiphenyl;2051-24-3;
2,2',3,4,4',5,5'-Heptachlorobiphenyl;35065-29-3;
2,4,6-Trichlorobiphenyl;35693-92-6;
Tetrachloro(tetrachlorophenyl)benzene;31472-83-0;
Acetic acid, 2,2,2-trichloro-, 2,3,4,5,6-pentachlorophenyl ester;2879-60-9;
Perchlorophenyl 5-oxo-L-prolinate;28990-85-4;
1,2-Dibromo-4-(2,4-dibromophenoxy)benzene;189084-61-5;
1,2-Dibromo-4-(2,6-dibromophenoxy)benzene;189084-62-6;
Nonachlorobiphenyl;53742-07-7;
Heptachlorobiphenyl;28655-71-2;
2-Chlorobiphenyl;2051-60-7;
4-Chlorobiphenyl;2051-62-9;
2,2',4,5,5'-Pentachlorobiphenyl;37680-73-2;
2,4,5-Trichlorobiphenyl;15862-07-4;
Tridecafluorohexane-1-sulfinic acid;115416-67-6;
2,2',3,4,4',5'-Hexachlorobiphenyl;35065-28-2;
4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-Nonadecafluorododecanoic acid;143260-97-3;
